loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,revol_util,loan_status,grade,term,home_ownership
31306,6.48,119764,29.46,0,42.98,Fully Paid,B, 60 months,RENT
17646,17.11,101218,4.22,2,13.89,Charged Off,C, 60 months,RENT
32065,15.34,142357,38.08,1,97.69,Fully Paid,C, 60 months,RENT
26199,19.8,100729,25.08,0,11.55,Fully Paid,B, 36 months,MORTGAGE
17371,17.61,48561,28.42,4,95.29,Fully Paid,E, 36 months,OWN
12835,15.99,70568,12.27,3,43.18,Fully Paid,G, 36 months,RENT
3049,18.8,129349,16.78,3,10.91,Charged Off,F, 60 months,MORTGAGE
32616,7.88,93302,9.34,2,72.02,Fully Paid,C, 60 months,RENT
21932,16.91,115380,37.34,3,98.25,Fully Paid,C, 36 months,MORTGAGE
30855,8.44,114968,19.78,0,96.91,Fully Paid,G, 36 months,OWN
8158,23.51,49504,25.4,3,24.48,Fully Paid,B, 36 months,MORTGAGE
8400,6.37,136116,29.5,0,26.31,Fully Paid,D, 60 months,MORTGAGE
16151,13.61,57146,15.16,0,60.9,Fully Paid,G, 36 months,OWN
2154,18.92,60297,28.94,1,67.36,Fully Paid,C, 36 months,OWN
5499,14.16,106394,27.2,2,76.55,Fully Paid,A, 36 months,MORTGAGE
7295,6.84,147173,28.37,4,26.29,Charged Off,F, 36 months,RENT
13183,16.07,145942,19.82,0,96.31,Fully Paid,F, 36 months,RENT
30299,17.83,88607,15.63,2,67.49,Fully Paid,G, 36 months,OWN
13874,19.08,36939,9.27,4,86.23,Charged Off,E, 36 months,RENT
33711,12.47,110467,33.07,3,58.61,Charged Off,G, 36 months,OWN
6539,16.27,70715,24.53,2,47.28,Charged Off,C, 36 months,MORTGAGE
3557,14.01,64460,18.05,2,97.95,Charged Off,B, 60 months,MORTGAGE
17482,18.44,86576,37.79,2,62.39,Fully Paid,A, 36 months,RENT
3200,16.67,88222,2.39,3,88.02,Fully Paid,G, 36 months,OWN
3961,15.52,32666,34.08,3,95.8,Fully Paid,B, 36 months,RENT
22357,9.99,82119,39.9,2,70.78,Fully Paid,G, 60 months,RENT
12969,5.04,55321,35.53,1,59.4,Charged Off,C, 60 months,MORTGAGE
3869,8.48,21779,32.51,0,10.32,Fully Paid,A, 36 months,RENT
29643,7.34,33186,15.29,3,13.6,Fully Paid,E, 60 months,MORTGAGE
25736,13.98,36459,9.64,1,28.08,Fully Paid,E, 60 months,OWN
24328,17.25,106246,29.53,3,26.74,Fully Paid,G, 36 months,RENT
26876,9.26,107755,12.53,2,32.93,Charged Off,E, 60 months,MORTGAGE
22295,23.78,25057,7.45,1,37.44,Fully Paid,D, 60 months,RENT
4987,5.13,80663,31.57,4,42.41,Fully Paid,B, 36 months,OWN
23399,20.45,38733,12.85,0,47.85,Charged Off,C, 36 months,RENT
34986,17.5,39157,36.62,0,18.9,Fully Paid,A, 60 months,RENT
21880,12.47,55030,33.7,3,13.81,Charged Off,G, 36 months,MORTGAGE
5735,6.01,39613,33.98,0,70.66,Fully Paid,G, 36 months,OWN
5555,17.55,128612,30.98,4,58.36,Fully Paid,F, 36 months,OWN
20830,12.71,135080,35.29,1,49.97,Charged Off,F, 60 months,OWN
18429,23.73,103028,32.33,1,67.1,Fully Paid,B, 36 months,RENT
7893,15.84,106282,24.3,2,84.49,Fully Paid,C, 60 months,MORTGAGE
15373,23.79,25188,12.18,1,48.49,Fully Paid,D, 60 months,RENT
4436,9.41,127106,35.58,3,67.7,Charged Off,C, 36 months,RENT
9754,19.51,148346,33.7,4,95.82,Fully Paid,B, 60 months,RENT
11677,17.34,49680,19.18,2,85.57,Charged Off,C, 36 months,OWN
6895,19.79,123361,2.04,3,48.34,Fully Paid,F, 36 months,MORTGAGE
20738,9.29,80119,25.72,3,68.02,Fully Paid,F, 36 months,OWN
31746,18.3,122302,2.5,3,25.94,Charged Off,A, 36 months,RENT
33352,14.96,94400,37.09,0,60.45,Fully Paid,D, 36 months,RENT
6600,19.86,75718,38.48,3,98.32,Fully Paid,F, 60 months,MORTGAGE
30124,11.54,56445,7.98,0,56.65,Charged Off,A, 60 months,OWN
28643,22.8,25796,27.22,1,93.49,Charged Off,D, 36 months,RENT
10007,6.69,67218,4.14,0,46.66,Fully Paid,F, 60 months,RENT
9208,21.14,59131,29.32,3,99.9,Fully Paid,D, 60 months,MORTGAGE
19589,22.23,28123,14.22,4,62.13,Charged Off,C, 60 months,RENT
18453,21.35,28222,27.4,4,13.8,Charged Off,A, 60 months,OWN
33635,15.25,44074,15.23,1,62.81,Charged Off,D, 36 months,OWN
34828,13.77,131958,6.25,3,34.71,Fully Paid,G, 36 months,RENT
19711,24.93,136088,16.54,0,12.92,Charged Off,D, 36 months,RENT
4420,9.58,49825,4.95,4,83.88,Fully Paid,C, 60 months,RENT
32216,15.94,56839,23.29,2,34.82,Fully Paid,F, 60 months,MORTGAGE
1301,18.41,127112,2.12,3,81.69,Fully Paid,F, 36 months,MORTGAGE
1699,19.02,147514,21.33,3,35.94,Fully Paid,G, 36 months,OWN
1190,9.08,88322,35.51,2,27.49,Fully Paid,B, 60 months,OWN
11492,18.08,76321,33.6,4,97.65,Fully Paid,B, 36 months,RENT
7102,21.37,119174,35.37,2,42.55,Fully Paid,F, 60 months,RENT
20778,6.0,122500,36.92,1,64.12,Fully Paid,G, 36 months,RENT
27641,23.23,130100,4.63,0,64.9,Fully Paid,E, 36 months,MORTGAGE
33745,5.59,45988,5.59,0,60.44,Fully Paid,E, 60 months,MORTGAGE
24093,12.12,55507,22.5,4,92.32,Fully Paid,G, 36 months,RENT
1569,5.32,119244,35.81,2,70.7,Fully Paid,D, 36 months,RENT
8455,6.54,118644,38.99,3,46.34,Fully Paid,F, 36 months,OWN
5014,23.22,145788,2.33,3,87.61,Fully Paid,B, 36 months,MORTGAGE
12093,12.1,115251,14.55,3,26.3,Charged Off,D, 36 months,RENT
19070,13.5,43806,8.91,1,58.98,Charged Off,A, 36 months,MORTGAGE
17538,9.31,56901,30.36,1,95.55,Charged Off,G, 60 months,RENT
11729,16.94,37043,25.79,3,66.29,Fully Paid,G, 60 months,RENT
1784,16.9,95761,5.24,4,83.53,Fully Paid,B, 60 months,OWN
28751,12.44,29752,19.6,1,68.82,Fully Paid,B, 60 months,OWN
13533,11.66,88993,27.57,1,85.54,Charged Off,B, 60 months,OWN
6801,22.7,62616,31.27,0,95.0,Fully Paid,G, 36 months,RENT
20190,12.67,72127,1.29,0,34.56,Fully Paid,E, 36 months,OWN
30592,14.87,94777,35.67,4,25.27,Fully Paid,C, 60 months,RENT
11647,10.67,20453,22.99,1,53.56,Fully Paid,C, 36 months,MORTGAGE
9716,20.74,95432,32.57,1,73.17,Charged Off,G, 36 months,MORTGAGE
24355,12.95,142872,32.41,2,30.45,Charged Off,E, 36 months,RENT
23009,15.27,107362,8.0,4,10.37,Charged Off,F, 36 months,OWN
25376,10.07,30976,4.85,4,40.86,Fully Paid,F, 36 months,OWN
5780,24.75,134176,28.99,2,97.2,Charged Off,G, 60 months,MORTGAGE
3368,10.83,119122,6.68,2,72.55,Fully Paid,G, 60 months,RENT
13039,20.41,90404,34.07,0,46.12,Charged Off,E, 36 months,RENT
7655,13.55,101932,29.18,4,27.33,Fully Paid,E, 60 months,RENT
5495,9.12,117170,33.75,4,42.05,Fully Paid,F, 60 months,MORTGAGE
11893,20.99,97707,12.31,2,25.29,Fully Paid,C, 60 months,MORTGAGE
26547,11.67,109647,13.01,3,19.57,Fully Paid,D, 60 months,OWN
23386,22.3,53688,27.01,3,91.61,Charged Off,E, 36 months,RENT
14403,23.31,106840,1.74,0,99.79,Charged Off,D, 60 months,RENT
33097,22.2,137106,29.2,3,24.77,Fully Paid,D, 36 months,RENT
14121,5.7,127810,33.51,3,14.91,Fully Paid,A, 60 months,RENT
11966,20.75,124779,16.9,3,39.68,Fully Paid,C, 60 months,MORTGAGE
34621,13.23,113789,30.71,1,51.55,Charged Off,G, 36 months,OWN
29312,22.47,116516,7.4,0,28.43,Fully Paid,D, 36 months,MORTGAGE
23677,17.76,22017,13.23,2,37.13,Fully Paid,G, 60 months,OWN
32289,21.67,27957,38.99,3,28.08,Fully Paid,G, 60 months,RENT
32024,14.99,134534,39.46,1,79.68,Fully Paid,C, 36 months,RENT
5777,15.7,127724,20.75,3,74.13,Charged Off,C, 60 months,RENT
30749,7.89,24792,37.4,1,67.15,Fully Paid,A, 36 months,RENT
16338,20.68,75982,21.15,0,44.85,Fully Paid,G, 36 months,RENT
3491,13.39,33237,12.02,3,91.81,Charged Off,F, 36 months,MORTGAGE
28236,15.0,71586,11.04,1,97.26,Fully Paid,C, 60 months,OWN
15599,20.7,101787,37.22,4,25.63,Fully Paid,D, 36 months,MORTGAGE
20508,16.98,39252,7.31,4,30.07,Fully Paid,F, 36 months,RENT
4051,9.02,30707,23.4,1,57.31,Fully Paid,F, 60 months,OWN
22606,16.8,54206,22.44,3,18.21,Fully Paid,B, 36 months,OWN
22699,13.15,114276,29.72,3,49.28,Charged Off,D, 60 months,RENT
1876,14.39,23543,20.22,0,62.36,Charged Off,D, 60 months,OWN
33093,5.57,64135,11.26,0,56.99,Charged Off,C, 36 months,MORTGAGE
5142,9.2,136469,7.19,2,39.78,Charged Off,D, 60 months,MORTGAGE
16202,10.62,133824,25.02,0,58.82,Fully Paid,G, 60 months,MORTGAGE
8079,19.26,124647,28.9,3,96.29,Fully Paid,B, 60 months,MORTGAGE
8987,5.23,55031,23.0,2,28.54,Fully Paid,C, 36 months,OWN
29940,13.18,62929,29.66,0,68.93,Charged Off,E, 36 months,MORTGAGE
18019,23.48,85747,6.09,1,13.91,Fully Paid,D, 36 months,OWN
19077,7.24,77851,35.36,4,15.98,Fully Paid,D, 60 months,RENT
27258,15.33,75311,23.5,0,59.66,Fully Paid,A, 36 months,MORTGAGE
22136,20.73,132113,5.51,0,19.44,Fully Paid,E, 36 months,RENT
9311,23.85,125331,18.75,1,12.01,Fully Paid,E, 60 months,MORTGAGE
18214,19.94,85867,33.87,3,25.44,Charged Off,G, 36 months,RENT
15098,19.41,108780,35.95,1,60.84,Fully Paid,B, 60 months,RENT
29251,21.53,77196,10.95,0,73.3,Charged Off,G, 36 months,RENT
26945,13.92,93705,28.6,3,28.22,Fully Paid,E, 60 months,RENT
26316,21.12,77894,4.45,2,70.14,Fully Paid,G, 60 months,RENT
33217,5.16,107640,1.83,0,26.42,Charged Off,G, 60 months,OWN
9308,23.49,127437,22.64,1,65.21,Charged Off,A, 60 months,OWN
6949,13.87,34591,27.95,2,47.08,Fully Paid,B, 36 months,MORTGAGE
2150,16.07,117247,31.93,4,68.84,Fully Paid,G, 60 months,OWN
24944,10.1,68893,13.94,2,99.55,Fully Paid,G, 60 months,RENT
10204,19.85,20727,0.76,1,94.4,Fully Paid,E, 60 months,OWN
2081,6.53,41359,19.44,2,10.39,Fully Paid,B, 60 months,OWN
30305,22.45,63822,1.13,1,89.69,Charged Off,E, 60 months,RENT
17896,21.56,121547,4.13,0,15.98,Fully Paid,E, 60 months,OWN
8805,9.32,135336,13.4,3,95.77,Fully Paid,G, 36 months,RENT
6237,21.19,123399,17.77,4,35.36,Fully Paid,F, 60 months,OWN
21056,20.73,132113,11.54,3,44.38,Charged Off,E, 36 months,RENT
4343,17.64,108534,23.48,3,18.25,Charged Off,G, 60 months,MORTGAGE
14500,12.47,30929,2.69,3,20.1,Fully Paid,D, 60 months,OWN
30375,10.43,148588,6.21,1,75.41,Fully Paid,E, 36 months,MORTGAGE
10662,9.64,80091,27.96,1,94.99,Charged Off,D, 60 months,RENT
17964,11.37,100378,6.11,4,64.97,Fully Paid,C, 60 months,RENT
9130,23.07,43519,25.77,1,74.43,Fully Paid,F, 36 months,MORTGAGE
20531,6.55,37393,2.66,1,78.58,Charged Off,A, 36 months,RENT
2679,21.58,54318,16.59,1,33.65,Charged Off,B, 36 months,RENT
4506,11.98,94531,7.51,1,14.07,Fully Paid,B, 36 months,RENT
14284,15.43,114192,4.83,0,10.17,Fully Paid,C, 60 months,RENT
8253,20.89,67934,22.9,4,41.56,Fully Paid,E, 36 months,RENT
20128,22.69,125796,37.17,1,31.73,Fully Paid,A, 36 months,RENT
28932,11.9,130805,2.66,4,15.61,Fully Paid,C, 36 months,RENT
10435,14.24,101103,17.15,2,26.16,Fully Paid,C, 60 months,RENT
14296,13.29,48840,28.45,0,21.2,Fully Paid,B, 36 months,MORTGAGE
31445,5.27,138089,18.78,1,92.34,Fully Paid,D, 60 months,OWN
14245,10.92,109367,32.36,0,22.62,Fully Paid,D, 60 months,RENT
30124,14.18,33265,7.6,0,58.39,Fully Paid,E, 60 months,MORTGAGE
30899,13.22,25424,38.4,2,63.38,Fully Paid,E, 60 months,RENT
30222,19.44,40625,15.71,4,58.91,Fully Paid,G, 36 months,OWN
27211,12.7,99622,13.99,0,18.92,Fully Paid,G, 36 months,RENT
27646,14.79,49187,35.05,3,38.69,Fully Paid,C, 60 months,MORTGAGE
24049,13.59,55929,22.77,2,14.61,Charged Off,E, 36 months,MORTGAGE
